,variance,k,run
62,0.004842976363705582,1.0,2.0
63,0.0046008340307988425,1.0,3.0
64,0.0064555765974987234,1.0,4.0
65,0.005456148841657472,1.0,5.0
66,0.005658539939923875,1.0,6.0
67,0.005092771036748294,1.0,7.0
68,0.002888784341723748,1.0,8.0
69,0.0033215751846458223,1.0,9.0
70,0.004071430203324703,1.0,10.0
71,0.006193483167899745,1.0,11.0
72,0.004430784059871977,1.0,12.0
73,0.005685950253004385,1.0,13.0
74,0.0036504037466361466,1.0,14.0
75,0.009410580267123481,1.0,15.0
76,0.004180729588603753,1.0,16.0
77,0.003787138472716335,1.0,17.0
78,0.008251018125067077,1.0,18.0
79,0.006119726773070028,1.0,19.0
80,0.004338630435657086,1.0,20.0
81,0.005631985456414378,1.0,21.0
82,0.004706047373937009,1.0,22.0
83,0.006969706346693105,1.0,23.0
84,0.0035454927896868436,1.0,24.0
85,0.004937053047992993,1.0,25.0
86,0.007524630817410301,1.0,26.0
87,0.00693867639246829,1.0,27.0
88,0.005551211243689045,1.0,28.0
89,0.0017420287195586267,1.0,29.0
90,0.01776390796096618,0.1,0.0
91,0.009015283718260209,0.1,1.0
92,0.01974016040411526,0.1,2.0
93,0.011030543169195679,0.1,3.0
94,0.015396392206566882,0.1,4.0
95,0.021508733263321617,0.1,5.0
96,0.038830534353407324,0.1,6.0
97,0.014822753622375378,0.1,7.0
98,0.0477158328827306,0.1,8.0
99,0.03967063426523477,0.1,9.0
100,0.014241596882264595,0.1,10.0
101,0.005508049772911535,0.1,11.0
102,0.022311447664556328,0.1,12.0
103,0.008465122589914444,0.1,13.0
104,0.012526257622299619,0.1,14.0
105,0.0236929379641402,0.1,15.0
106,0.009560804457423288,0.1,16.0
107,0.012250871501633988,0.1,17.0
108,0.01812165454697005,0.1,18.0
109,0.01494371015625587,0.1,19.0
110,0.014939689996461121,0.1,20.0
111,0.008521282698833593,0.1,21.0
112,0.01566208550985089,0.1,22.0
113,0.019439304400754084,0.1,23.0
114,0.016479934359256453,0.1,24.0
115,0.010497812136282392,0.1,25.0
116,0.007898163591011212,0.1,26.0
117,0.014665816688827743,0.1,27.0
118,0.012677347198603282,0.1,28.0
119,0.011192828928341933,0.1,29.0
120,0.018648392126323715,0.01,0.0
121,0.024538230838889955,0.01,1.0
122,0.06007499504066214,0.01,2.0
123,0.02259154177962825,0.01,3.0
124,0.014056233765774641,0.01,4.0
125,0.020752730629223656,0.01,5.0
126,0.019841141205438527,0.01,6.0
127,0.02069989676135718,0.01,7.0
128,0.02087110102569082,0.01,8.0
129,0.11515200500141254,0.01,9.0
130,0.023335454296323537,0.01,10.0
131,0.030922602159301392,0.01,11.0
132,0.008502427835376749,0.01,12.0
133,0.026582740288942624,0.01,13.0
134,0.03369135813116555,0.01,14.0
135,0.09187558631704551,0.01,15.0
136,0.044992379284445105,0.01,16.0
137,0.005843313729670289,0.01,17.0
138,0.047840335555178144,0.01,18.0
139,0.02960817786796536,0.01,19.0
140,0.01284761181267637,0.01,20.0
141,0.016854248861087502,0.01,21.0
142,0.008069310760191812,0.01,22.0
143,0.023302883036277307,0.01,23.0
144,0.0330753100505009,0.01,24.0
145,0.031676833236218484,0.01,25.0
146,0.026003678149336233,0.01,26.0
147,0.043759646188259296,0.01,27.0
148,0.041927872559019315,0.01,28.0
149,0.021379311206199465,0.01,29.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
